No,Rarity,Id,Japanese Name,English Name,Civilization,Set,Reference,Price (Yen),Price (SGD),Qty
35,(Cards marked with a ☆ are exclusive to DM23-EX2.),超20b/超38,サファイア・ミスティ,Sapphire Misty,Water/Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/Sapphire_Misty,320,2.78,0
36,(Cards marked with a ☆ are exclusive to DM23-EX2.),超21/超38,闘争類拳嘩目ステゴロ・カイザー,"Stegoro Kaiser, Struggling Battlekind / Purification Sharrup",Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Stegoro_Kaiser,_Struggling_Battlekind_/_Purification_Sharrup",220,1.91,0
37,(Cards marked with a ☆ are exclusive to DM23-EX2.),超22/超38,進化設計図,Evolution Blueprint,Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/Evolution_Blueprint,500,4.35,0
38,(Cards marked with a ☆ are exclusive to DM23-EX2.),超23/超38,メンデルスゾーン,Mendelssohn,Fire/Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/Mendelssohn,320,2.78,0
39,(Cards marked with a ☆ are exclusive to DM23-EX2.),超24/超38,天災デドダム,"Deddam, Disaster",Water/Darkness/Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Deddam,_Disaster",420,3.65,0
40,(Cards marked with a ☆ are exclusive to DM23-EX2.),超25/超38,ドンドン火噴くナウ,Dondon Volcanic Now,Water/Fire/Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/Dondon_Volcanic_Now,220,1.91,0
41,(Cards marked with a ☆ are exclusive to DM23-EX2.),超26/超38,天雷の導士アヴァラルド公,"Prince Avaraldo, Cavalier of Thunder / Magic Shot - Arcadia Egg",Darkness,DM23-EX2,"https://duelmasters.fandom.com/wiki/Prince_Avaraldo,_Cavalier_of_Thunder_/_Magic_Shot_-_Arcadia_Egg",120,1.04,0
42,(Cards marked with a ☆ are exclusive to DM23-EX2.),超27/超38,音奏プーンギ,"Poongi, Play Music",Light,DM23-EX2,"https://duelmasters.fandom.com/wiki/Poongi,_Play_Music",80,0.7,0
43,(Cards marked with a ☆ are exclusive to DM23-EX2.),超28/超38,ゲラッチョの心絵,Gelacho's Memory,Light,DM23-EX2,https://duelmasters.fandom.com/wiki/Gelacho%27s_Memory,80,0.7,0
44,(Cards marked with a ☆ are exclusive to DM23-EX2.),超29/超38,星空に浮かぶニンギョ,"Ningyo, Floating in the Starry Sky",Darkness,DM23-EX2,"https://duelmasters.fandom.com/wiki/Ningyo,_Floating_in_the_Starry_Sky",120,1.04,0
45,(Cards marked with a ☆ are exclusive to DM23-EX2.),超30/超38,恋愛妖精アジサイ,"Ajisai, Love Faerie",Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Ajisai,_Love_Faerie",120,1.04,0
46,(Cards marked with a ☆ are exclusive to DM23-EX2.),超31/超38,若き大長老アプル,"Aple, Young Great Elder",Nature,DM23-EX2,"https://duelmasters.fandom.com/wiki/Aple,_Young_Great_Elder",120,1.04,0
47,(Cards marked with a ☆ are exclusive to DM23-EX2.),超32/超38,マナ・クライシス,Mana Crisis,Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/Mana_Crisis,420,3.65,0
48,(Cards marked with a ☆ are exclusive to DM23-EX2.),超33/超38,月光電人オボロカゲロウ,"Oboro Kagerou, Moonlight Mecha",Water,DM23-EX2,"https://duelmasters.fandom.com/wiki/Oboro_Kagerou,_Moonlight_Mecha",80,0.7,0
49,(Cards marked with a ☆ are exclusive to DM23-EX2.),超34/超38,堕呪ゴンパドゥ,"Gompadu, Daspell",Water,DM23-EX2,"https://duelmasters.fandom.com/wiki/Gompadu,_Daspell",180,1.57,0
50,(Cards marked with a ☆ are exclusive to DM23-EX2.),超35/超38,ハエタタ・チュリス,Hayatata Churis,Fire,DM23-EX2,https://duelmasters.fandom.com/wiki/Hayatata_Churis,80,0.7,0
51,(Cards marked with a ☆ are exclusive to DM23-EX2.),超36/超38,豊潤フォージュン,Rich Four June,Nature,DM23-EX2,https://duelmasters.fandom.com/wiki/Rich_Four_June,120,1.04,0
